Temp,Acetaldehyde Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,CO Concentration Relative to CO,CO2 Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,Ethanol Concentration Relative to CO,Crotyl Alcohol Concentration Relative to CO,H2 Concentration Relative to CO,H2O Concentration Relative to CO
300.3965,1.5958737018103148,0.5045008829127372,4.195380831634658,1.5833417758630584,0.4483579534442384,0.21095302143508812,-0.4998439599169375,0.7460962073144917,0.32101364500873664
301.4013,1.5813344977336634,0.5250593408806282,4.203471318069996,1.576784137149534,0.44823790581957335,0.2124169611689356,-0.5118985890758396,0.7475915267841873,0.31399322115525125
302.2625,1.6060042726465487,0.5493729037252597,4.198105211667739,1.561313254273412,0.4566347466574261,0.23252293775893054,-0.6018276850431322,0.7481265608807913,0.31356341777235286
303.1762,1.6133712552239237,0.5665536441584136,4.196906499775466,1.5536900591998077,0.461262373902239,0.24189656508743262,-0.6441733549912295,0.7461301552361252,0.313037007720579
304.1567,1.6212768330034095,0.5849904571109221,4.195620150853091,1.545509537398704,0.46622832390064,0.2519554920827224,-0.6896148887376549,0.7439877937010536,0.3124721121796309
304.8878,1.6271715478576487,0.5987376819447612,4.19466099766885,1.5394098132897935,0.4699311347561536,0.2594558302023107,-0.7234979130334342,0.7423903632897421,0.3120509034800009
305.83,1.6347683203041883,0.616454321581531,4.193424895726308,1.531548836603409,0.4747031062895481,0.26912183837667214,-0.7671644230751271,0.7403316860451273,0.31150807372101946
306.8916,1.6433277913604876,0.6364160968292443,4.192032149152119,1.5226916801076917,0.480079804421422,0.2800127684105318,-0.8163645579300016,0.7380121235712549,0.3108964540307896
307.7955,1.650044697861342,0.660193548128936,4.187354974918513,1.5221832982080503,0.47092310907002033,0.2783652185027195,-0.8347232861098077,0.7381838472210966,0.3159502718864698
308.5778,1.662586690696794,0.6419080175251716,4.179846080323662,1.5191431002187257,0.48757924387390894,0.2948912137773422,-0.8723035828981557,0.7325114422424779,0.3148966958433852
