Source:,Measured, Measured, Measured
Molecules,ethyne, ethene, ethane
Electron Numbers,14, 16, 18
ionizationEfficiencies,1.0, 1.0857142857142859, 1.1714285714285713
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,26.04, 28.05, 30.07
1.200000000000000000e+01,2.154589371980676571e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,6.618357487922706284e+00,2.491803278688524248e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,5.254098360655737210e+00,3.815533980582524798e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.621359223300971486e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,6.280193236714977090e+00,3.245901639344262346e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.207729468599033851e+01,1.000000000000000000e+01,3.718446601941748142e+00
2.600000000000000000e+01,1.000000000000000000e+02,6.081967213114754145e+01,2.262135922330097415e+01
2.700000000000000000e+01,2.077294685990338063e+00,6.196721311475409522e+01,3.233009708737864685e+01
2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02
2.900000000000000000e+01,0.000000000000000000e+00,2.032786885245901676e+00,2.126213592233009919e+01
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.097087378640776834e+01
